1814 in the United States	13th United States Congress	TE
1814 in the United States	1728	TE
1814 in the United States	1744	E
1814 in the United States	1751	E
1814 in the United States	1814 in Canada	TE
1814 in the United States	1814 in the United Kingdom	TE
1814 in the United States	1866 in the United States	E
1814 in the United States	1879 in the United States	TE
1814 in the United States	1880 in the United States	TE
1814 in the United States	1882 in the United States	TE
1814 in the United States	1896 in the United States	E
1814 in the United States	Andrew Jackson	TE
1814 in the United States	Battle of Baltimore	TE
1814 in the United States	Battle of Bladensburg	TE
1814 in the United States	Battle of Plattsburgh	TE
1814 in the United States	Bladensburg, Maryland	TE
1814 in the United States	Canada	E
1814 in the United States	Elbridge Gerry	E
1814 in the United States	Ethan Allen	E
1814 in the United States	Fort Mackinac	TE
1814 in the United States	Fort McHenry	TE
1814 in the United States	Francis Scott Key	TE
1814 in the United States	Georgia (U.S. state)	TE
1814 in the United States	Henry Clay	TE
1814 in the United States	Henry P. Baldwin	E
1814 in the United States	Henry Whitney Bellows	E
1814 in the United States	Homer V. M. Miller	TE
1814 in the United States	Ira Allen	E
1814 in the United States	James Henry Lane (Union general)	E
1814 in the United States	James Madison	TE
1814 in the United States	John Marshall	TE
1814 in the United States	Joseph Hooker	TE
1814 in the United States	Langdon Cheves	TE
1814 in the United States	Mercy Otis Warren	E
1814 in the United States	Muscogee people	TE
1814 in the United States	Niagara Falls, Ontario	E
1814 in the United States	Phineas Riall	E
1814 in the United States	Samuel Colt	TE
1814 in the United States	Samuel J. Tilden	E
1814 in the United States	Siege of Fort Erie	TE
1814 in the United States	The Star-Spangled Banner	TE
1814 in the United States	Thomas Macdonough	TE
1814 in the United States	USS Enterprise (1799)	E
1814 in the United States	United Kingdom	TE
1814 in the United States	United Kingdom of Great Britain and Ireland	TE
1814 in the United States	United States	TE
1814 in the United States	War of 1812	TE
1814 in the United States	William Bigler	E
1814 in the United States	Wilmington, North Carolina	E
1988 Wimbledon Championships	1988 US Open (tennis)	TE
1988 Wimbledon Championships	1989 Wimbledon Championships	TE
1988 Wimbledon Championships	Boris Becker	TE
1988 Wimbledon Championships	Emmanuelle Derly	TE
1988 Wimbledon Championships	Grass court	TE
1988 Wimbledon Championships	Guillaume Raoux	TE
1988 Wimbledon Championships	Kelly Jones (tennis)	TE
1988 Wimbledon Championships	Larisa Neiland	TE
1988 Wimbledon Championships	Martina Navratilova	TE
1988 Wimbledon Championships	Nicolás Pereira	TE
1988 Wimbledon Championships	Rachel McQuillan	TE
1988 Wimbledon Championships	SW postcode area	TE
1988 Wimbledon Championships	Steffi Graf	TE
1988 Wimbledon Championships	The Championships, Wimbledon	TE
1988 Wimbledon Championships	Tomáš Anzari	TE
1988 Wimbledon Championships	United Kingdom	TE
1988 Wimbledon Championships	Zina Garrison	TE
1995 in Australia	1995 Sturt Football Club season	TE
1995 in Australia	Adelaide	TE
1995 in Australia	Adelaide City FC	E
1995 in Australia	Alanna Kennedy	E
1995 in Australia	Alex Haas	TE
1995 in Australia	Alexander Downer	TE
1995 in Australia	Angel Baby (1995 film)	E
1995 in Australia	Angela Donald	TE
1995 in Australia	Anthony Spanos	TE
1995 in Australia	Antony Hamilton	TE
1995 in Australia	Arthur Birch (organic chemist)	TE
1995 in Australia	Arthur Sissis	E
1995 in Australia	Awer Mabil	TE
1995 in Australia	Babe (film)	TE
1995 in Australia	Ben Garuccio	TE
1995 in Australia	Bill Hayden	TE
1995 in Australia	Bob Carr	TE
1995 in Australia	Brenda Hodge	E
1995 in Australia	Brianna Davey	TE
1995 in Australia	Brittany Broben	E
1995 in Australia	Brooklee Han	TE
1995 in Australia	Callan McAuliffe	TE
1995 in Australia	Carlton Football Club	TE
1995 in Australia	Carlton, Victoria	E
1995 in Australia	Chief Minister of the Australian Capital Territory	E
1995 in Australia	Christopher Cristaldo	TE
1995 in Australia	Dante Exum	TE
1995 in Australia	David Eastman	E
1995 in Australia	Dean Brown	TE
1995 in Australia	Disease	E
1995 in Australia	Dylan Murnane	E
1995 in Australia	Elizabeth II	TE
1995 in Australia	Erinn Walters	E
1995 in Australia	Eva Lazzaro	TE
1995 in Australia	Frank Knopfelmacher	TE
1995 in Australia	Fred Daly (politician)	TE
1995 in Australia	Gas explosion	U
1995 in Australia	Gwen Harwood	TE
1995 in Australia	Hagi Gligor	TE
1995 in Australia	Harold Larwood	TE
1995 in Australia	Harold Stewart	TE
1995 in Australia	Hey Hey It's Saturday	TE
1995 in Australia	Hotel Sorrento	E
1995 in Australia	Ian Roberts (rugby league)	E
1995 in Australia	Ian Tomlinson (athlete)	TE
1995 in Australia	In Melbourne Tonight	TE
1995 in Australia	Isabel Letham	TE
1995 in Australia	Jack Miller (motorcycle racer)	E
1995 in Australia	Jacob Melling	E
1995 in Australia	James Connor (diver)	E
1995 in Australia	James Hamlyn Willis	E
1995 in Australia	James Ralph Darling	TE
1995 in Australia	Jeff Kennett	TE
1995 in Australia	John Fahey (politician)	TE
1995 in Australia	John Howard	TE
1995 in Australia	John Jefferson Bray	TE
1995 in Australia	Kate Carnell	TE
1995 in Australia	Kerry Packer	TE
1995 in Australia	Kerry Stokes	E
1995 in Australia	Larry La Trobe	TU
1995 in Australia	Len Beadell	TE
1995 in Australia	Life imprisonment	E
1995 in Australia	MI5	E
1995 in Australia	Max Harris (poet)	TE
1995 in Australia	Michael Dameski	TE
1995 in Australia	Mikaela Turik	TE
